20, 25, 31.5, 40, 50, 63, 80, 100, 125, 160, 200, 250, 315, 400, 500, 630, 800, 1000, 1250, 1600, 2000, 2500, 3150, 4000, 5000, 6300, 8000, 10000, 12500, 16000, 20000
0.113, 0.131, 0.093, 0.116, 0.114, 0.139, 0.127, 0.080, 0.079, 0.079, 0.078, 0.078, 0.078, 0.078, 0.077, 0.077, 0.067, 0.088, 0.105, 0.160, 0.203, 0.186, 0.167, 0.158, 0.149, 0.148, 0.149, 0.152, 0.158, 0.169, 0.187
0.003, 0.003, 0.004, 0.004, 0.004, 0.005, 0.005, 0.006, 0.007, 0.007, 0.008, 0.009, 0.010, 0.011, 0.012, 0.013, 0.015, 0.016, 0.018, 0.020, 0.022, 0.025, 0.027, 0.030, 0.050, 0.085, 0.142, 0.199, 0.236, 0.274, 0.293
